,Prot,bp_rp,abs_G,source_id,ruwe,survey
136630,9.09,1.0204248,5.647979175305185,2051020920217813248,0.9721657,Kepler
136631,4.41,0.5736866,3.243561870462381,2051012738300892416,0.9205577,Kepler
136632,8.05,0.72147846,1.9362153387461325,2051012669581416320,0.9083942,Kepler
136633,20.19,0.9116554,3.974381146936695,2050261810522075520,0.97950184,Kepler
136634,1.21,0.5992336,3.2152879374746828,2050262016680535808,1.0957592,Kepler
136635,28.73,0.90120506,3.800739759046614,2050258821225008384,1.0309625,Kepler
136636,3.91,0.7357998,3.857948507542013,2051760273070008960,1.0245725,Kepler
136637,26.08,0.913682,5.0523754440118385,2051749793349996160,1.0109978,Kepler
136638,12.1,0.9625349,4.817750156298207,2051748590759138944,1.1179557,Kepler
136639,17.4,0.7667656,3.836179513578644,2051745257864507008,1.1383939,Kepler
136640,6.17,0.76341724,3.501418709361376,2051745773260663296,0.98144966,Kepler
136641,21.04,0.8599739,4.244909274133182,2051751236459157632,1.1053046,Kepler
136642,9.01,0.8179102,3.3424788477213827,2051751064660477312,0.98281604,Kepler
136643,12.61,1.0900049,5.570382443809596,2051704021876984960,1.179327,Kepler
136644,8.56,0.67837715,2.6596300207573194,2051704232335480320,0.9155678,Kepler
136645,10.3,0.8365774,4.795827937321421,2051704953890021504,1.0560194,Kepler
136646,19.66,1.0073576,5.4153998897797475,2051700762001969920,0.9736227,Kepler
136647,5.68,0.78401375,3.2181635951695036,2051712616112104704,1.0256582,Kepler
136648,19.78,0.81414986,3.923861554882506,2051713848758510976,0.9727036,Kepler
136649,2.96,1.047226,5.388555863663392,2051719522419750656,0.92609197,Kepler
136650,24.84,0.97120285,4.883206890795396,2051022775643711360,0.9848174,Kepler
136651,1.86,0.7209406,4.168263447294379,2051023016161911680,1.0150937,Kepler
136652,18.21,0.97258854,3.6755857457945087,2051023359759323136,1.0329564,Kepler
136653,8.56,0.9155445,2.3628207506608376,2051011299491171712,1.0340947,Kepler
136654,9.85,0.7142792,4.162341347860149,2051017003207761152,0.9328237,Kepler
136655,21.81,0.85920525,5.110976225387812,2051013017478148480,1.0048969,Kepler
136656,11.18,0.946146,4.3374911853449,2051765014714379136,1.0177205,Kepler
136657,28.78,0.99052906,5.586023824852424,2051765014714381312,1.0428385,Kepler
136658,3.93,0.9366226,4.613906953260715,2051764052641296512,1.0095832,Kepler
136659,26.26,0.8910217,4.633963037470883,2051762472093410176,1.0703119,Kepler
