,Unnamed: 0.1,Unnamed: 0,source_id,in_training_sample,mh_xgboost,teff_xgboost,logg_xgboost,Prot,bp_rp,abs_G,ruwe,survey,teff
106445,106445,106445,2132760156511974528,False,-0.108,6075.8,4.193,3.09,0.7106991,3.5020752642975523,1.1195478,Kepler,6122.164582489471
106446,106446,106446,2132761054166125952,False,0.058,5869.6,4.392,7.24,0.77401066,4.442119259793635,0.7631872,Kepler,5916.82072127629
106447,106447,106447,2132762428554336640,False,-0.107,5854.1,4.08,24.98,0.7968092,3.661888366303412,0.93268657,Kepler,5845.155924535575
106448,106448,106448,2132762565993276416,False,-0.537,4255.2,4.65,36.99,1.5575342,7.5593769846264145,0.9898365,Kepler,4218.173216970456
106449,106449,106449,2132762669072494720,False,0.005,5868.0,4.37,10.61,0.7713022,4.398519095299944,1.0539502,Kepler,5925.416202135946
106450,106450,106450,2132764833736230912,False,-0.065,5663.1,4.453,24.68,0.85308456,4.903748967556128,0.9932874,Kepler,5673.645589007698
106451,106451,106451,2132766070686814208,False,-0.071,5002.8,4.569,14.9,1.1159458,6.114732009374926,1.0101513,Kepler,4981.067757009543
106452,106452,106452,2132769918977522304,False,0.021,5828.2,4.307,7.04,0.8192425,4.348418315577954,1.0519233,Kepler,5775.856105366448
106453,106453,106453,2132770468733314944,False,-0.563,5559.3,3.954,27.99,0.87602615,3.3502525128434044,0.90036476,Kepler,5605.9835122885515
106454,106454,106454,2132770674891764736,False,-0.071,6156.8,4.113,6.8,0.6884136,3.050060100043666,1.0889463,Kepler,6196.58371336559
106456,106456,106456,2132794829787857792,True,-0.044,5935.6,4.113,15.31,0.7362356,3.509574752418157,1.0466925,Kepler,6038.240941606609
106457,106457,106457,2132795207744981248,False,0.296,5774.5,4.111,16.8,0.8158884,3.5437444056819007,0.96925414,Kepler,5786.139789066413
106458,106458,106458,2132807611610398592,False,-0.084,5427.6,4.43,27.37,0.9112997,4.985019540495317,1.0210093,Kepler,5504.565888197408
106459,106459,106459,2132807783409086464,False,-0.116,6339.6,4.223,2.56,0.6454029,3.4120163385432623,1.1698089,Kepler,6343.221282411743
106460,106460,106460,2132808608042844160,False,0.022,6054.5,4.099,10.9,0.7622156,3.416859969074414,0.96589744,Kepler,5954.378626280997
106461,106461,106461,2132809123438926464,False,0.018,5513.6,4.434,18.21,0.87314796,4.381136804263486,1.0773249,Kepler,5614.399233110835
106462,106462,106462,2132809982432371072,False,0.0,4115.8,4.621,31.346,1.8060551,7.744103963576272,1.101869,Kepler,3958.8209913497
106463,106463,106463,2132810871486675072,False,-0.39,6413.1,4.021,3.17,0.583539,3.0544893581433197,1.2293407,Kepler,6560.766703971037
106464,106464,106464,2132811803498469888,False,0.164,4942.3,4.551,29.446,1.1712809,6.071592182607741,1.0519415,Kepler,4858.8606116075935
106465,106465,106465,2132813109168559232,False,-0.14,5800.5,3.92,26.44,0.8446274,3.0989170402339816,0.92661667,Kepler,5698.921970686114
106466,106466,106466,2132813727643857408,False,-0.085,3633.4,4.659,41.234,2.4344368,9.506484163443805,1.024489,Kepler,3503.5320579127274
106467,106467,106467,2132814792796010624,False,-0.138,5706.7,3.888,33.93,0.8731489,2.734289331815157,1.2583563,Kepler,5614.396481153027
106468,106468,106468,2132814895875227776,False,0.094,5765.4,4.427,18.19,0.8273411,4.709428115792665,0.99545693,Kepler,5751.139192709063
106469,106469,106469,2132816407703976960,False,-0.206,5826.4,4.468,18.45,0.80454636,4.795613943897568,1.0622648,Kepler,5821.11715812008
106470,106470,106470,2132816957459308416,False,-0.012,6169.8,4.222,7.09,0.7114258,3.3454953800273355,0.9319755,Kepler,6119.7562263835025
106471,106471,106471,2132820462152884736,False,-0.016,4944.7,4.574,16.88,1.141963,6.027475927887238,0.9215258,Kepler,4922.585964542201
106472,106472,106472,2132820599591814144,False,-0.011,4617.2,4.588,22.711,1.3759184,6.810085206873847,0.9658671,Kepler,4476.08124188732
106473,106473,106473,2132820668311289472,True,-0.096,6370.5,4.156,5.2,0.5935993,3.137586869142325,0.87923735,Kepler,6524.87589256303
106474,106474,106474,2132821286786599680,False,0.092,5756.1,4.455,8.21,0.85108566,4.842117860860364,1.048959,Kepler,5679.6036885751355
106475,106475,106475,2132821935322422400,True,-0.009,6346.8,4.167,3.25,0.59191895,3.127541128064145,0.8778577,Kepler,6530.857063979601
106477,106477,106477,2132824860199336960,False,0.058,4579.4,4.603,12.774,1.4495754,6.949199036292576,1.0738603,Kepler,4363.082202198448
106478,106478,106478,2132825513034355200,True,0.053,4168.4,4.619,44.661,1.7315664,7.496962000506041,1.1253409,Kepler,4027.668277620181
106479,106479,106479,2132826337668090496,False,0.357,5460.3,4.027,25.53,0.950119,3.925866832883978,1.1476432,Kepler,5396.682491639222
106480,106480,106480,2132831422909376384,False,-0.098,4248.6,4.594,17.651,1.6492901,7.50416473159872,1.0521641,Kepler,4111.907393874851
106481,106481,106481,2132831766506747136,False,-0.301,4875.7,4.586,23.87,1.1595945,6.444645489666801,1.0846279,Kepler,4883.986732585614
106482,106482,106482,2132832213183355264,False,-0.245,5013.4,4.561,19.66,1.1132717,6.008311013455359,1.0134652,Kepler,4987.181916132393
106483,106483,106483,2132835546078048512,False,-0.007,4483.9,4.603,14.541,1.4940634,7.056223568256687,1.0031694,Kepler,4300.540692682981
106484,106484,106484,2132835683517205632,False,-0.049,4743.4,4.575,12.719,1.2554283,6.497311725337127,1.0230379,Kepler,4688.582364322444
106485,106485,106485,2132836886107830912,False,-0.094,5604.2,4.463,25.58,0.85575867,4.961345448111315,0.9526133,Kepler,5665.690545331909
106486,106486,106486,2132837298424655616,False,0.125,5867.0,4.311,10.31,0.7729111,4.240744166941308,0.96830606,Kepler,5920.30817126195
106487,106487,106487,2132842521104996992,False,0.056,5664.5,4.436,19.86,0.84644604,4.829860855423998,0.96037614,Kepler,5693.4714381039
106489,106489,106489,2132847949941102848,True,-0.138,6162.1,4.175,7.15,0.6615715,3.526619840229829,1.0076153,Kepler,6287.640460607403
106490,106490,106490,2132848327900776448,False,0.227,5674.0,4.361,24.37,0.85358715,4.667985943123385,0.98711634,Kepler,5672.149097896785
106491,106491,106491,2132849324333199872,False,-0.158,5059.2,4.545,35.93,1.056716,5.820913332040833,0.9741859,Kepler,5121.015364510455
106492,106492,106492,2132860628687066880,False,0.101,5618.2,4.359,18.86,0.8704443,4.659660179901929,1.2867216,Kepler,5622.323777821541
106493,106493,106493,2132861350241610624,False,-0.241,4557.2,4.579,19.864,1.4108467,6.96754357168161,1.0762014,Kepler,4420.978192962129
106494,106494,106494,2132862140515605632,False,-0.266,4860.6,4.544,17.971,1.1832743,5.961843563570641,1.0309743,Kepler,4833.452574610736
106495,106495,106495,2132862277954568064,True,0.1,5912.0,4.388,3.57,0.75432014,4.35629216833966,0.8266419,Kepler,5979.700478162736
106496,106496,106496,2132862793350621824,False,0.088,5014.7,4.567,29.38,1.1116467,5.926552530307827,0.931394,Kepler,4990.906793249955
106497,106497,106497,2132864133380394880,True,0.216,5096.0,4.494,15.64,1.0683565,5.4960038999769925,1.165052,Kepler,5092.762925326309
106498,106498,106498,2132865198532271872,False,0.064,6109.1,4.153,11.05,0.6993561,3.0740808300098976,0.81980425,Kepler,6159.907227548216
106499,106499,106499,2132865645208892416,False,0.126,4724.4,4.57,29.108,1.2972174,6.440669384231946,0.94199294,Kepler,4610.816641787393
106502,106502,106502,2132879419163938944,True,0.112,5264.9,4.518,17.47,0.9908514,5.513642112002058,1.0083711,Kepler,5287.755287551454
106503,106503,106503,2132884921020752640,False,-0.076,5616.2,4.414,12.55,0.84607315,4.476462510120889,1.3768778,Kepler,5694.588331973412
106505,106505,106505,2132887738519343360,False,0.0,4749.1,4.561,16.629,1.2478342,5.65780448062365,1.010738,Kepler,4703.1920125303
106506,106506,106506,2132888528793330816,False,-0.452,6006.8,3.967,18.99,0.72165966,3.2489401841364884,1.0014851,Kepler,6085.964720712687
106507,106507,106507,2132889044189397760,False,-0.064,5095.7,4.566,13.24,1.0754442,5.9515687870699026,1.0160073,Kepler,5075.73985938624
106508,106508,106508,2132889800103654016,False,0.068,5687.0,4.442,17.46,0.8280802,4.737906313880059,0.97586876,Kepler,5748.891473824663
106509,106509,106509,2132890482999626880,False,-0.07,6090.5,4.201,10.07,0.6961069,3.638330149328531,1.2836201,Kepler,6170.770549493607
106510,106510,106510,2132891140133412864,False,-0.823,5471.3,3.973,11.93,0.87761784,3.638863745457865,1.0248404,Kepler,5601.33850790916
106512,106512,106512,2132905743022471936,False,-0.088,4539.3,4.604,16.112,1.4803028,7.015046487644373,0.9693195,Kepler,4319.44621470992
106513,106513,106513,2132906979973060224,False,0.106,5693.2,4.294,40.42,0.8401184,4.3439737358590715,0.9856696,Kepler,5712.471102156858
106514,106514,106514,2132909694392806016,False,-0.624,5434.2,3.633,5.84,0.90370846,2.76619775822266,1.085081,Kepler,5526.121741142366
106515,106515,106515,2132911751677661824,True,0.105,6039.2,4.322,10.17,0.71153355,4.111838945612011,1.0344353,Kepler,6119.399231629757
106516,106516,106516,2132912133933598976,False,0.287,5229.5,4.462,32.79,1.0165653,5.338382494444193,0.99158,Kepler,5221.270564936342
106517,106517,106517,2132913263506469888,False,-0.045,6084.7,4.2,10.2,0.69942665,3.577084930530809,1.0605206,Kepler,6159.671607430506
106518,106518,106518,2132913336524440448,False,-0.158,3988.4,4.651,20.789,1.8785391,8.172635711001746,0.9554636,Kepler,3897.2800251957096
106519,106519,106519,2132915157590588288,False,-0.25,6299.3,4.217,2.3,0.62051296,3.5593615091040576,0.9519482,Kepler,6429.830801953697
106520,106520,106520,2132916531980106112,False,-0.002,5026.6,4.501,19.39,1.0907459,5.14517278172174,1.2310683,Kepler,5039.451555297539
106521,106521,106521,2132919933594511744,False,0.054,4774.4,4.583,16.601,1.2641792,6.429649625592685,1.0463095,Kepler,4671.930686688911
106522,106522,106522,2132921342343504896,False,0.156,5831.6,4.344,18.09,0.7873535,4.436402121645575,1.0014455,Kepler,5874.728967593081
106523,106523,106523,2132924847037204736,False,-0.111,5563.3,4.483,22.11,0.8868761,5.104294198889365,1.0034298,Kepler,5574.448234647423
106524,106524,106524,2132927080420157568,False,0.358,5578.1,4.31,21.37,0.8920517,4.546016683622254,1.1814096,Kepler,5559.511362191431
106525,106525,106525,2132927866394902784,False,0.041,6122.4,4.266,22.25,0.7008295,3.814416940155226,1.0120945,Kepler,6154.988683604751
106526,106526,106526,2132931822063979648,False,0.007,5617.5,4.389,36.93,0.86698437,4.653832104377095,1.1424458,Kepler,5632.4919827010635
106527,106527,106527,2132932646697718912,False,-0.459,5511.6,4.503,18.6,0.87370014,5.168534071631447,0.91539276,Kepler,5612.783048966649
106528,106528,106528,2132934330324823808,False,-0.045,4889.4,4.571,22.217,1.2037315,6.351621565817872,0.9234173,Kepler,4790.993546391207
106529,106529,106529,2132934605202752768,False,-0.27,4040.6,4.652,19.175,1.7885981,8.049564800383475,1.1002398,Kepler,3974.398920230451
106530,106530,106530,2132935017519577088,False,0.316,5840.9,4.185,21.41,0.8013363,3.4942391222840694,1.1688703,Kepler,5831.073079299148
106531,106531,106531,2132936662488681984,False,-0.175,3697.8,4.652,35.155,2.229557,9.127457136930056,1.0235083,Kepler,3641.473820293523
106532,106532,106532,2132938522212997888,False,0.194,5348.6,4.493,20.63,0.9577923,5.216858495654192,1.0822825,Kepler,5375.825947025751
106533,106533,106533,2132938762731186176,False,-0.218,5914.8,4.374,8.85,0.74263096,4.466694804175846,1.0291318,Kepler,6017.4533665132185
106534,106534,106534,2132939106328565760,False,-0.0,5858.4,4.11,15.72,0.7920294,3.4547021193179432,1.078848,Kepler,5860.078220742194
106536,106536,106536,2132943023338713984,False,-0.021,5655.1,4.458,22.99,0.8519411,4.819216945325966,1.0294602,Kepler,5677.052664096469
106537,106537,106537,2132943057698462848,False,0.149,5593.0,4.455,12.02,0.8815365,4.881173982344931,0.9529457,Kepler,5589.930220763043
106538,106538,106538,2132944157210081664,False,-0.023,6146.7,4.296,6.57,0.6837473,3.939207421345685,0.97319114,Kepler,6212.302792323331
106539,106539,106539,2132944260289300736,False,0.047,5973.4,4.306,11.2,0.7708702,4.347506711795431,0.9479158,Kepler,5926.788775927209
106540,106540,106540,2132944260289305984,False,-0.314,5864.0,4.348,23.35,0.81567574,4.434158398048114,0.98392504,Kepler,5786.792730250111
106541,106541,106541,2132944294649048576,False,-0.137,5302.0,4.536,26.66,0.96344376,5.4929998409028045,0.9153561,Kepler,5360.564476758642
106542,106542,106542,2132946081355473664,False,-0.31,5157.2,4.558,25.05,1.0098438,5.780102789626161,1.3906364,Kepler,5238.478162039781
106544,106544,106544,2132959447293490432,False,-0.062,4125.9,4.594,17.164,1.6874466,7.623033420036187,1.295739,Kepler,4071.661599885653
106545,106545,106545,2132963982779273728,False,0.231,5584.4,4.292,33.43,0.8764601,4.324204084777827,0.9438208,Kepler,5604.716484034901
106546,106546,106546,2132964120217916800,False,0.113,6036.4,4.281,7.19,0.7231159,3.9292070861642614,1.0099202,Kepler,6081.175295418402
106550,106550,106550,2132976867681160448,False,0.008,5312.6,4.497,16.4,0.9686823,5.355123716855873,1.2963054,Kepler,5346.493678881277
106551,106551,106551,2132980990849770880,False,-0.03,5776.7,4.299,26.81,0.81267834,4.308495819348662,1.1956294,Kepler,5796.007516160491
106552,106552,106552,2132982468319155840,False,-0.018,5665.7,4.454,29.77,0.8381691,4.802342040697445,1.0834618,Kepler,5718.3441981560445
106553,106553,106553,2132982846275395968,False,-0.018,4044.8,4.635,15.425,1.8693638,7.935639913710379,0.9760453,Kepler,3904.814347970252
106555,106555,106555,2132983636549345792,False,0.353,5527.8,3.991,61.431,0.9341097,3.5692018086966044,0.9920676,Kepler,5440.6963115641665
106556,106556,106556,2132983980147052800,False,-0.11,5927.4,3.8,24.15,0.7747812,2.567813329629784,0.9381785,Kepler,5914.3785110737135
