,source_id,in_training_sample,mh_xgboost,teff_xgboost,logg_xgboost,Unnamed: 0.1,Unnamed: 0,Prot,bp_rp,abs_G,ruwe,survey
5570,2102570079775380224,False,-0.233,5197.2,3.242,7501,144106,39.53,1.0110683,1.686712158146609,1.0380859,Kepler
5571,2102571316725963392,False,-0.081,5397.9,4.515,7657,144262,21.66,0.93203354,5.347250454082696,0.9740485,Kepler
5572,2102571797762306176,False,-0.294,5523.1,4.516,7658,144263,24.71,0.9298277,5.428857098883835,1.1341864,Kepler
5573,2102572106999966080,False,0.056,6279.0,4.294,7660,144265,3.14,0.653409,3.6894561031739457,0.9657981,Kepler
5574,2102573511450211968,False,0.013,5622.6,4.461,7831,144436,12.97,0.86335087,4.83335763702288,1.0215622,Kepler
5575,2102574306022700800,False,0.01,4321.8,4.6,20147,156752,13.604,1.6211472,7.438157327054174,0.9898279,Kepler
5576,2102578875868441088,False,-0.008,4298.4,4.62,20160,156765,32.886,1.6561537,7.482291518139526,1.017018,Kepler
5577,2102582960376029056,False,0.1,6222.3,4.056,7668,144273,6.02,0.6878271,2.758125534053841,1.1191449,Kepler
5578,2102585713456125952,False,0.151,4831.2,4.562,22450,159055,16.595,1.2342081,6.319395343582585,1.0095154,Kepler
5579,2102590420740687616,True,-0.118,5485.8,3.153,22495,159100,9.718,0.8719053,0.8397438136839384,0.9730249,Kepler
5580,2102596158817012736,False,0.282,5950.4,4.154,8151,144756,13.49,0.7657137,3.3703756358279673,1.3744835,Kepler
5581,2102597155249464832,False,-0.203,4267.0,4.598,20213,156818,15.599,1.6233921,7.513504725949069,1.0945613,Kepler
5582,2102598113020623360,False,0.102,6055.6,4.243,8315,144920,24.01,0.73121834,3.510719359140939,1.1399773,Kepler
5583,2102599560431173120,False,-0.12,3983.7,4.642,20228,156833,38.497,1.9500256,8.125194753894469,1.0127728,Kepler
5584,2102600453784384640,False,-0.61,6110.4,3.708,8503,145108,4.36,0.68365,2.4617853114071035,0.96518797,Kepler
5585,2102602579786598912,False,-0.144,5629.8,4.488,8147,144752,16.17,0.8416891,5.009469809816228,0.9954524,Kepler
5586,2102603958477577088,False,-0.264,4660.4,4.603,22520,159125,32.091,1.2807837,6.607454204054569,1.0124112,Kepler
5587,2102606569817648768,False,-0.322,5073.9,4.57,8310,144915,18.86,1.0660257,6.037096629285838,1.0475694,Kepler
5588,2102607085213748352,False,0.021,5611.4,4.459,8312,144917,21.36,0.86143875,4.899110857066255,0.94892955,Kepler
5589,2102607222652707840,True,0.181,5784.3,4.144,8311,144916,15.11,0.8168173,3.8185289462246015,1.005561,Kepler
5590,2102608116005928704,False,0.18,4540.8,4.575,20227,156832,32.083,1.4870911,6.869046408848746,1.0130366,Kepler
5591,2102610418108425856,False,-0.026,5747.1,4.228,8314,144919,7.81,0.81913376,3.88203340970032,0.999387,Kepler
5592,2102612067375942784,False,0.297,5631.8,3.775,8502,145107,7.14,0.868062,2.5640476417350513,1.0013573,Kepler
5593,2102619042402676864,False,-0.029,5436.2,4.517,6553,143158,24.34,0.93129253,5.343555378380545,1.0333381,Kepler
5594,2102619935755861888,False,-0.261,5111.4,4.555,6552,143157,25.05,1.0475264,5.929477539681773,1.0383369,Kepler
5595,2102620726029943680,False,0.163,4888.5,4.542,22282,158887,29.527,1.2158766,6.122577325041579,0.998901,Kepler
5596,2102621516303905152,False,-0.11,6237.4,3.768,22281,158886,12.962,0.608819,2.15676402479859,0.9749174,Kepler
5597,2102650550283665152,False,0.03,4777.0,4.58,22382,158987,12.529,1.2834921,6.476695967221442,1.0807109,Kepler
5598,2102651477996665600,False,-0.029,5500.0,4.492,7359,143964,20.75,0.9037056,5.122530562294152,0.94542754,Kepler
5599,2102672987193017984,False,-0.2,3631.8,4.648,20130,156735,50.452,2.4564314,9.91443566941851,0.978721,Kepler
5600,2102674705180002688,False,-0.15,5156.2,4.523,7700,144305,9.69,1.058156,4.362840629613672,1.0845437,Kepler
5601,2102676010849978240,False,0.133,5333.1,4.436,7698,144303,22.43,0.9987192,4.646813294427799,0.99398565,Kepler
5602,2102677110361599488,False,0.024,5486.8,4.492,7696,144301,9.16,0.9104109,5.182915549427463,0.9720849,Kepler
5603,2102678141154498176,False,0.045,6088.0,4.191,7699,144304,7.49,0.69857407,3.4078201841718165,1.0388832,Kepler
5604,2102678587830381056,False,0.085,6242.0,4.153,7697,144302,4.69,0.66963005,3.106784531343095,0.9670324,Kepler
5605,2102679167647132544,True,0.043,6000.3,4.138,7857,144462,10.23,0.72668743,3.3672414577933836,0.87239474,Kepler
5606,2102690819896920576,False,-0.04,4667.7,4.594,22364,158969,15.147,1.3757305,6.785298479803711,0.98365045,Kepler
5607,2102692881481109120,False,-0.012,5601.5,4.137,7191,143796,7.19,0.8985777,3.808973931279535,0.93386674,Kepler
5608,2102695046144694400,False,0.031,5119.0,4.548,7354,143959,32.15,1.081439,5.83997539938075,1.0380657,Kepler
5609,2102696661052409088,False,-0.005,5177.4,4.54,7525,144130,7.76,1.0183487,5.669729220211181,1.0532029,Kepler
5610,2102697004649809024,False,0.119,5237.4,4.47,7526,144131,20.18,1.0163851,4.647768083267406,1.067624,Kepler
5611,2102697726204397312,False,0.013,5479.4,4.516,7357,143962,9.83,0.95385265,5.370561639703483,1.024837,Kepler
5612,2102701746293762944,False,0.094,5098.8,4.511,7527,144132,9.11,1.0706816,5.002104024452764,1.0081692,Kepler
5613,2102705079188468480,False,0.056,5578.2,4.492,7849,144454,19.93,0.8865843,5.0820656040295535,1.0656698,Kepler
5614,2102706483635467520,False,-0.158,6202.3,3.587,7352,143957,1.67,0.612648,1.8578778456871297,0.90001595,Kepler
5615,2102706900254379520,False,0.183,4965.2,4.531,7523,144128,40.17,1.1469917,5.90957916411293,1.0107222,Kepler
5616,2102707896687912192,False,-0.045,5140.5,4.562,7522,144127,7.24,1.0438242,5.806063453919384,0.9864041,Kepler
5617,2102709992630894848,False,-0.146,5377.4,4.492,7690,144295,21.04,0.94266224,5.272237709822205,1.017132,Kepler
