,Unnamed: 0,Prot,bp_rp,abs_G,source_id,ruwe,survey
21461,158066,32.919,1.2462721,6.05832643156446,2100127514694129536,1.0386156,Kepler
21462,158067,6.654,0.6785011,3.090876724753512,2100131466063199616,1.0003378,Kepler
21463,158068,14.559,0.97843456,3.2333040192414852,2100131397343721856,0.88941586,Kepler
21464,158069,0.296,0.9401922,3.5838731091790805,2100034915198605568,1.0644478,Kepler
21465,158070,0.54,0.9356375,5.190238884128187,2099238971860633472,1.0202067,Kepler
21466,158071,31.825,1.1206837,6.20800233250322,2099576590648595328,1.021535,Kepler
21467,158072,0.453,0.82801914,3.308790269215553,2099564427301325184,1.0112146,Kepler
21468,158073,3.069,0.81643677,2.419127541861794,2099566866842813568,1.0802431,Kepler
21469,158074,3.735,0.66887665,2.5803934451094506,2099473786312480000,1.074111,Kepler
21471,158076,1.173,0.64372444,2.263783226723726,2052831781508505088,0.90556115,Kepler
21472,158077,28.218,1.1457977,5.389557258540648,2052846796713595776,0.96117055,Kepler
21473,158078,4.792,0.67162704,1.918916196258774,2052843669977456768,0.91094774,Kepler
21474,158079,33.031,1.2051792,5.631783130734329,2052745190668084608,1.1150552,Kepler
21475,158080,1.154,0.6848221,1.7732273685986917,2052740418966840704,0.93014,Kepler
21476,158081,12.246,1.4119987,7.010060474009876,2052738975857777024,0.95568043,Kepler
21477,158082,5.838,0.5858669,1.8263886713794264,2052738288662716928,0.90221107,Kepler
21478,158083,5.119,0.7638655,3.4036787818565912,2052702073498061056,1.0119205,Kepler
21479,158084,1.175,0.9693117,5.5242265075001065,2052702829412331392,0.9831555,Kepler
21481,158086,36.638,1.1597557,6.079969200316764,2052175888470456448,0.9632111,Kepler
21482,158087,1.962,0.7226877,3.5079232280949526,2052175373074450176,1.0279344,Kepler
21483,158088,19.88,0.9806471,5.343796980892485,2052175476153678976,0.99365664,Kepler
21484,158089,13.751,1.163146,6.012820611400571,2052128472029944320,1.1228998,Kepler
21485,158090,26.626,0.9220247,3.840319194801449,2052142662602653824,0.95790076,Kepler
21486,158091,65.846,1.0507154,3.2573215725166556,2052138814311909376,0.8740429,Kepler
21487,158092,24.274,1.2664251,6.263861732494618,2049137594251630080,1.041997,Kepler
21488,158093,1.255,0.6351509,2.7923315407019818,2100144488404367872,0.9775403,Kepler
21489,158094,16.744,0.8460922,2.146444410683669,2100146545688101888,0.97201735,Kepler
21490,158095,31.427,1.1679392,6.179001117444429,2100227054854705152,0.9962555,Kepler
21491,158096,19.721,1.1537485,6.343189160867976,2100035980350497920,1.0104814,Kepler
21492,158097,15.737,1.1860256,6.180440806205649,2100030998188541568,0.96400243,Kepler
21493,158098,18.518,0.9254465,5.155443040657559,2100030379713826304,0.9569512,Kepler
21494,158099,31.991,1.1151285,4.901361833415097,2099572398760709888,0.9831173,Kepler
21495,158100,6.698,1.166789,2.9124960979135945,2099663967463056384,1.0338497,Kepler
21496,158101,26.835,1.320384,6.7250250885622975,2099663280268337280,1.0309741,Kepler
21497,158102,8.591,1.1778088,6.114648038224303,2052894075714711296,0.9499851,Kepler
21499,158104,12.8,1.0963345,5.843560787950102,2052763233833344384,1.064995,Kepler
21500,158105,1.215,0.70869446,2.087025877072712,2052286355026283776,0.9483384,Kepler
21501,158106,10.956,1.1698227,5.468722735405235,2052285148132863488,0.94160384,Kepler
21502,158107,62.445,0.8317547,3.860708786516805,2052188704652668288,1.0281333,Kepler
21503,158108,31.558,1.293848,6.610926961701146,2052178705968978432,1.022351,Kepler
21504,158109,1.573,0.6789408,1.802466947807181,2052176369506851328,0.8892271,Kepler
21505,158110,2.6,0.73269176,1.6399057402409785,2052153000577927680,1.1398559,Kepler
21506,158111,2.483,0.739151,2.566414688762622,2052145170863639424,0.9295753,Kepler
21507,158112,36.392,0.92434406,3.54015004302091,2076160532037818624,0.9190835,Kepler
21508,158113,52.474,0.92826176,2.596729227407101,2076160669476803840,1.0992409,Kepler
21509,158114,31.785,1.1009855,5.699007908716403,2100149848523671424,0.9900453,Kepler
21511,158116,15.031,0.76633453,4.583053685958012,2100043642572302976,0.8560298,Kepler
21512,158117,1.281,0.66939926,2.4555314286145986,2100043883090488576,1.0348932,Kepler
21513,158118,51.379,0.9028044,3.090365362153019,2100043878790329088,0.8857406,Kepler
21514,158119,9.15,1.2588158,6.190520874280427,2100055565401596800,1.0214586,Kepler
21515,158120,11.358,1.1454744,6.171155530899828,2100371193957282176,0.9427195,Kepler
21517,158122,5.975,0.7013426,2.420670073989198,2099624007087957248,0.8634101,Kepler
21518,158123,12.72,0.695631,3.170290916287218,2099632768821350016,0.975867,Kepler
21519,158124,7.302,1.1775961,6.236287750831728,2099586039576863488,1.0634955,Kepler
21520,158125,8.261,1.141717,5.39566819835165,2099667094199257216,1.0722404,Kepler
21521,158126,19.34,1.1563416,6.291158461686646,2099664207981249408,0.9914014,Kepler
21522,158127,3.544,0.66616917,3.4747309680923077,2052907338573219328,0.9761791,Kepler
21523,158128,5.81,0.85583496,3.6900793403233614,2052905105190347136,0.9688858,Kepler
21525,158130,41.908,0.9429369,3.991978462339059,2052860982987335040,1.2352935,Kepler
21527,158132,7.012,1.1300316,6.0381563226806065,2052755502891899776,0.9609503,Kepler
21528,158133,11.342,1.0894203,6.020210780833672,2052764539503523072,0.9791227,Kepler
21531,158136,32.449,1.332758,5.952703991379458,2052286355026281856,1.221139,Kepler
21532,158137,21.02,1.292594,5.804474086153467,2052189769804865152,1.0751266,Kepler
