 source_id mh_xgboost BP-G Prot
182 2051741650091842688 0.006 0.551398 9.972
183 2051744433230856192 -0.035 0.322142 13.498
184 2051745189145027968 -0.139 0.448601 17.187
185 2051745326584018432 -0.053 0.543291 9.79
186 2051745567102238464 0.023 0.631158 24.223
187 2051746941491623040 0.066 0.448296 14.76
188 2051748590759138944 -0.116 0.413431 12.041
189 2051748728198135040 0.073 0.654823 22.189
190 2051748762557889536 -0.114 0.597544 17.588
191 2051749793349996160 0.171 0.394371 24.726
192 2051753504201995392 -0.185 0.692345 10.653
193 2051757180693942400 0.175 0.36886 14.436
194 2051757283773164544 0.172 1.007133 29.62
195 2051758177126368640 -0.042 0.302097 0.887
196 2051758452004263936 -0.505 0.307498 1.453
197 2051762472093410176 0.204 0.377801 26.052
198 2051762643892077952 -0.004 0.879509 0.374
199 2051763709044322944 0.165 0.626662 33.064
200 2051764052641296512 -0.021 0.39712 3.995
201 2051767282457162752 -0.117 0.594425 12.478
202 2051770099955563008 -0.158 0.42779 6.256
203 2051770168675039232 -0.18 0.840228 38.173
204 2051770374833464704 -0.179 0.578974 9.771
205 2051770615351672064 0.406 0.375748 24.219
206 2051771955381705216 -0.054 0.543626 10.267
207 2051773501569851648 -0.153 0.420976 9.671
208 2051773845167236352 -0.195 0.307298 0.859
209 2051773879526977408 0.012 0.578046 11.928
210 2051774291843850112 0.175 0.589928 27.409
211 2051776593946374400 -0.1 0.665115 17.089
212 2051776765745271552 -0.271 0.388144 1.993
213 2051776868824499328 0.025 0.297791 4.628
214 2051780339158138624 -0.005 0.449824 15.458
215 2051780648395826048 -0.186 0.389232 18.692
216 2051780682755569664 -0.17 0.608885 15.272
217 2051781610468412672 -0.289 0.41406 11.052
218 2051782263303420416 -0.027 0.478332 9.307
219 2051782568241032320 0.096 0.298398 41.4
220 2051783568973541504 -0.077 0.619058 26.308
221 2051786455191665408 -0.073 0.423964 19.106
222 2051786592630581248 -0.096 0.453574 16.999
223 2051786661350061952 0.017 0.369201 10.235
224 2051787726501989888 -0.24 0.478136 25.478
225 2051788344977309952 -0.082 0.411826 8.518
226 2051789547568156544 -0.139 0.795605 25.637
227 2051790887598165504 -0.216 0.396788 3.557
228 2051793979974688000 0.123 0.453266 19.716
229 2051794667169193728 0.198 0.649861 29.928
230 2051795801040568832 -0.002 0.53719 34.502
231 2051796453875641984 -0.12 0.71979 22.448
232 2051796591314613632 0.082 0.824084 18.502
233 2051796694393841664 -0.085 0.728164 21.366
234 2051801504757228928 -0.089 0.488259 21.07
235 2051802672988354432 0.078 0.379969 4.261
236 2051803703780571392 0.072 0.624382 24.317
237 2051803944298726272 -0.222 0.431438 1.721
238 2051804184816862592 -0.006 0.432284 20.391
239 2051804700213114240 -0.009 0.300937 3.712
240 2051804936435458688 0.047 0.315001 14.223
241 2051805348746011008 0.013 0.418467 37.48
242 2051805765364937984 -0.173 0.495914 18.421
243 2051807723869907200 -0.207 0.653304 17.206
244 2051808960820508800 0.234 0.475922 17.722
245 2051809476216611712 -0.381 0.337272 13.638
246 2051809785454317952 -0.027 0.622305 35.292
247 2051810335210217600 -0.089 0.428048 17.59
248 2051811159843850112 0.253 0.640457 31.136
249 2051811606520489728 -0.211 0.430379 23.08
250 2051812946547406464 -0.181 0.404965 13.065
251 2051813152706414208 0.062 0.466095 22.217
252 2051814458376084736 -0.072 0.851204 20.429
253 2051815076851443840 -0.103 0.596755 11.082
254 2051815798405934464 -0.122 1.155823 11.548
255 2051815901485177088 0.209 0.518246 28.846
256 2051816176363080576 0.139 0.496013 28.127
257 2051816451232381056 -0.175 0.492472 17.136
258 2051817069716094336 0.044 1.220101 1.872
259 2051817825630300416 0.013 0.395328 6.709
260 2051818306666701184 0.18 0.339166 11.039
261 2051819234379801984 0.135 0.450412 61.507
262 2051820471330356224 -0.138 0.440367 16.21
263 2051821570842126080 0.183 0.685905 21.537
264 2051821777000474496 -0.173 0.300253 2.684
265 2051822017518632448 -0.072 0.244082 1.15
266 2051823907304498560 0.299 0.558497 33.257
267 2051824491420004352 -0.169 0.344197 10.551
268 2051824594499241856 -0.023 0.404057 7.842
269 2051824800657673728 0.077 0.413665 1.5
270 2051826140687236352 0.017 0.352899 9.883
271 2051826140687239936 -0.331 0.461233 9.882
272 2051829301783411200 0.016 0.528048 11.113
273 2051829336143161472 -0.081 0.39628 12.161
274 2051830332575103360 0.152 0.526013 29.61
275 2051830500070899712 0.013 0.314415 4.268
276 2051830710532193920 -0.138 0.71087 30.372
277 2051831947482889600 -0.055 0.520577 12.819
278 2051832943915321472 0.071 0.422516 17.598
279 2051833253152992384 -0.014 0.443889 19.934
280 2051833287512751104 -0.286 0.281266 1.412
281 2051835005499426560 -0.13 0.693318 30.462
282 2051835314737106176 0.154 0.890876 42.246
283 2051835349096857088 -0.024 0.443094 30.608
284 2051837788638482432 0.281 0.523348 30.926
285 2051839712783909504 -0.153 0.427195 6.983
286 2051839953302123264 0.107 0.475009 28.312
287 2051840537417761792 0.17 0.429946 8.034
